column1	column2
-0.7315501	-0.2413269
-1.012331	0.03488477
-0.5544968	-1.5803745
-0.86383635	0.91249526
2.1049206	-0.46482915
0.84087217	1.1912068
2.6172605	1.1999675
-0.52112085	0.1250357
-0.9300766	0.73021877
1.1873163	2.590006
-1.0747769	-0.05441373
1.0476282	0.61519086
0.6361121	-1.4341183
0.55301565	-0.09167507
-1.2820184	-0.25575283
-0.5306381	-0.7668061
-0.8799893	-0.7736396
1.2383957	-0.20671625
-0.9563655	0.8671628
1.0053614	-1.6274067
0.42955267	0.37595642
-1.5292956	-1.6516632
0.1278499	2.437931
0.9350737	-0.09094291
2.049749	-1.2999451
-2.0561872	-0.053689316
0.626855	0.76937574
-1.5972594	-1.4422097
-1.1293385	-0.66408396
0.24408312	1.014315
0.8064287	-0.91980857
1.1426443	0.07012048
-0.0640505	-1.2625673
-0.6499298	1.1464368
0.29706925	0.8105039
-0.96371645	1.1274403
0.56626445	-0.19289415
-0.17497069	0.18429323
-0.6886185	0.3828746
-2.3062603	0.21274923
1.37922	-0.08559582
0.34343073	2.0778315
-1.0769498	-0.68324625
-0.27429348	0.8493873
-0.079594806	-1.1693989
0.047895443	0.4125156
-0.90493286	-0.19137838
1.6378697	-1.0332998
-0.20349254	0.6178145
2.022148	0.3936873
-0.16008286	1.2054222
1.2384135	-0.5046945
-0.66015697	-0.54840016
0.93411905	0.53448284
-0.51570857	-0.24030447
0.8326304	-0.26273513
-2.0736732	0.3355227
1.4169493	0.3917693
-0.33110943	-1.21886
-0.67238796	-0.761188
-0.18473223	0.4604932
0.7150656	1.0103374
-1.5934802	-0.7745481
-0.9642912	-0.41870007
1.6678939	3.4223826
0.8647618	-3.0841336
-0.8004003	1.2064784
-0.18531647	0.5072023
0.13842905	1.1174558
0.66258824	0.82555485
0.33609375	-0.6534637
-2.0120873	-0.51198417
1.0629641	-0.31787252
-2.8582766	2.1292703
0.23317564	0.62016463
1.2875621	-1.086997
-0.9189713	-0.011757697
-1.3810606	-1.3216977
0.6310501	0.6945632
-1.4764296	-1.4454916
1.5506268	0.58793837
-1.1552042	0.9369074
0.78062624	0.5720422
1.1205202	0.5649733
0.52997667	-0.3239132
-0.733178	-0.8194146
-1.0195599	-1.0602125
-1.0560397	-1.0020539
0.92842615	0.4196956
-0.053909604	0.29971042
0.20473078	0.12111267
1.014522	-0.020160262
0.56692797	-0.7931056
-0.020879423	0.24323434
-0.59649396	-0.92143637
-0.8160203	0.17585017
-0.38025358	1.8927022
0.29731482	1.0570496
0.23707008	0.5361591
0.43477994	0.0909581
